Run   obj.function   $E            $nu           
1     2.980921E+15  1.500000E+10  2.500000E-01  
2     3.087876E+15  1.500000E+10  2.530000E-01  
3     8.257727E+14  1.349988E+10  2.795640E-01  
4     1.250395E+14  1.246257E+10  2.964828E-01  
5     3.749512E+13  1.208525E+10  3.022849E-01  
6     3.244631E+13  1.203681E+10  3.029984E-01  
7     3.234262E+13  1.203580E+10  3.030120E-01  
8     1.580187E+09  1.203580E+10  3.000120E-01  
9     3.234262E+13  1.203580E+10  3.030120E-01  
