time crIndex gridPoint
f i i
 5.0000e-002 53211 82142
 5.0000e-002 52829 82168
 5.0000e-002 81954 82194
 5.0000e-002 53637 82220
 5.0000e-002 54380 82246
 5.0000e-002 56666 82272
 5.0000e-002 82037 82298
 5.0000e-002 57506 82324
 5.0000e-002 56738 82815
 5.0000e-002 54402 82841
 5.0000e-002 51806 82867
 5.0000e-002 82655 82893
 5.0000e-002 51885 82919
 5.0000e-002 52289 82945
 5.0000e-002 54552 82971
 5.0000e-002 56616 82997
 5.0000e-002 56995 83023
 5.0000e-002 82736 83049
 5.0000e-002 53898 83331
 5.0000e-002 50364 83357
 5.0000e-002 49989 83383
 5.0000e-002 50392 83409
 5.0000e-002 51116 83435
 5.0000e-002 56015 83461
 5.0000e-002 54574 83579
 5.0000e-002 51088 83605
 5.0000e-002 51044 83631
 5.0000e-002 56355 83657
 5.0000e-002 51138 83731
 5.0000e-002 51166 83757
 5.0000e-002 52728 83783
 5.0000e-002 55106 83809
 5.0000e-002 55532 83835
 5.0000e-002 52750 84015
 5.0000e-002 51295 84041
 5.0000e-002 51216 84067
 5.0000e-002 83932 84093
 5.0000e-002 54602 84119
 5.0000e-002 55185 84145
 5.0000e-002 52550 84344
 5.0000e-002 49356 84370
 5.0000e-002 84263 84396
 5.0000e-002 49435 84422
 5.0000e-002 49788 84448
 5.0000e-002 50342 84474
 5.0000e-002 53977 84500
 5.0000e-002 51238 84880
 5.0000e-002 84801 84906
 5.0000e-002 49256 84932
 5.0000e-002 84722 84958
 5.0000e-002 46044 84984
 5.0000e-002 46123 85010
 5.0000e-002 46889 85036
 5.0000e-002 84641 85062
 5.0000e-002 52578 85088
 5.0000e-002 52678 85114
 5.0000e-002 54681 85140
 5.0000e-002 52650 85749
 5.0000e-002 85670 85775
 5.0000e-002 52600 85801
 5.0000e-002 45844 85827
 5.0000e-002 85589 85853
 5.0000e-002 45872 85879
 5.0000e-002 49888 85905
 5.0000e-002 53233 85931
 5.0000e-002 48058 86399
 5.0000e-002 86239 86425
 5.0000e-002 48137 86451
 5.0000e-002 49838 86477
 5.0000e-002 51784 86503
 5.0000e-002 86320 86529
 5.0000e-002 53615 86555
 5.0000e-002 49910 86935
 5.0000e-002 47157 86961
 5.0000e-002 86777 86987
 5.0000e-002 47418 87013
 5.0000e-002 48036 87039
 5.0000e-002 86696 87065
 5.0000e-002 52807 87091
 5.0000e-002 86856 87117
 5.0000e-002 45794 87434
 5.0000e-002 87353 87460
 5.0000e-002 45750 87486
 5.0000e-002 87682 87633
 5.0000e-002 51066 87512
 5.0000e-002 52267 87538
 5.0000e-002 51188 87864
 5.0000e-002 50414 87890
 5.0000e-002 47490 87916
 5.0000e-002 87704 87942
 5.0000e-002 47569 87968
 5.0000e-002 49234 87994
 5.0000e-002 87785 88020
 5.0000e-002 51317 88046
 5.0000e-002 49860 88370
 5.0000e-002 45268 88396
 5.0000e-002 88210 88422
 5.0000e-002 45224 88448
 5.0000e-002 45772 88474
 5.0000e-002 88291 88500
 5.0000e-002 51863 88526
 5.0000e-002 50471 88689
 5.0000e-002 88667 88715
 5.0000e-002 46527 88741
 5.0000e-002 46788 88767
 5.0000e-002 49184 88793
 5.0000e-002 50515 88819
 5.0000e-002 49206 89020
 5.0000e-002 48519 89046
 5.0000e-002 48945 89072
 5.0000e-002 49284 89098
 5.0000e-002 49334 89124
 5.0000e-002 88937 89150
 5.0000e-002 50783 89176
 5.0000e-002 49810 89549
 5.0000e-002 45994 89575
 5.0000e-002 89389 89601
 5.0000e-002 45922 89627
 5.0000e-002 47468 89653
 5.0000e-002 89470 89679
 5.0000e-002 49967 89705
 5.0000e-002 49306 90006
 5.0000e-002 45196 90032
 5.0000e-002 44024 90058
 5.0000e-002 44052 90084
 5.0000e-002 89927 90110
 5.0000e-002 45972 90136
 5.0000e-002 89846 90162
 5.0000e-002 49413 90188
