time cIndex x y length flowRate aperture nForce sForce xNormCosine yNormCosine blocks domains corners
f i f f f f f f f f f l l l
 0.0000e+000 4556464  4.9357e-002  1.9110e+001  6.3284e-002  0.0000e+000  0.0000e+000  2.5462e-001 -1.2941e-001  9.3242e-001  3.6138e-001 133947,155248 136011,4556504 135887,4487185
 0.0000e+000 4487207  4.9349e-002  1.9110e+001  6.3290e-002  0.0000e+000  0.0000e+000  2.5465e-001 -1.2941e-001 -9.3242e-001 -3.6138e-001 155248,133947 136011,4487247 135909,4556440
 0.0000e+000 4556019  1.3333e-001  9.5038e+000  6.8484e-002  0.0000e+000  0.0000e+000  6.4653e-001  1.5700e-001 -4.2073e-001  9.0719e-001 149404,134756 135045,4556059 4518052,4555997
 0.0000e+000 4518074  1.3333e-001  9.5038e+000  6.8486e-002  0.0000e+000  0.0000e+000  6.4656e-001  1.5700e-001  4.2071e-001 -9.0720e-001 134756,149404 135045,4518114 4555997,4518052
 0.0000e+000 4555891  1.3333e-001  9.6360e+000  7.0386e-002  0.0000e+000  0.0000e+000  6.4851e-001 -1.7465e-001 -4.6683e-001 -8.8435e-001 148412,134756 134988,4555931 131155,4555867
 0.0000e+000 4522476  1.3333e-001  9.6360e+000  7.0383e-002  0.0000e+000  0.0000e+000  6.4847e-001 -1.7465e-001  4.6684e-001  8.8434e-001 134756,148412 134988,4522516 131177,4522454
 0.0000e+000 4555461  4.4916e-002  1.3338e+001  4.9628e-002  0.0000e+000  0.0000e+000  2.6944e-001  1.1248e-001 -9.1162e-001  4.1104e-001 143609,135074 135363,4555501 4537591,4555435
 0.0000e+000 4537613  4.4908e-002  1.3338e+001  4.9634e-002  0.0000e+000  0.0000e+000  2.6957e-001  1.1248e-001  9.1161e-001 -4.1106e-001 135074,143609 135363,4537653 4555435,4537591
 0.0000e+000 4554811  7.9613e-002  4.7462e-001  6.5284e-002  0.0000e+000  0.0000e+000  2.1500e-001 -1.0039e-001  9.6603e-001  2.5845e-001 135836,150752 4511516,4554851 4554585,4512238
 0.0000e+000 4512260  7.9603e-002  4.7466e-001  6.0291e-002  0.0000e+000  0.0000e+000  2.0049e-001 -9.2707e-002 -9.6600e-001 -2.5853e-001 150752,135836 4511516,4512300 137760,4554789
 0.0000e+000 4554732  1.4709e-001  2.2239e-001  6.5292e-002  0.0000e+000  0.0000e+000  2.7664e-001 -1.0142e-001 -9.6604e-001 -2.5839e-001 150752,135836 138090,4554772 4511454,4554710
 0.0000e+000 4512132  1.4710e-001  2.2233e-001  6.0290e-002  0.0000e+000  0.0000e+000  2.5448e-001 -9.3655e-002  9.6605e-001  2.5837e-001 135836,150752 138090,4554649 137738,4512110
 0.0000e+000 4554609  1.1336e-001  3.4848e-001  6.5288e-002  0.0000e+000  0.0000e+000  2.3079e-001 -1.0094e-001  9.6604e-001  2.5839e-001 135836,150752 4512172,4554772 4554710,4511454
 0.0000e+000 4511476  1.1335e-001  3.4853e-001  6.5288e-002  0.0000e+000  0.0000e+000  2.3251e-001 -1.0094e-001 -9.6603e-001 -2.5845e-001 150752,135836 4512172,4554851 4512238,4554585
 0.0000e+000 4554111  1.6533e-002  1.1266e+001  7.7060e-002  0.0000e+000  0.0000e+000  3.6594e-001  4.9186e-002 -9.9423e-001  1.0728e-001 150348,136774 137063,4554151 4513142,4554089
 0.0000e+000 4514582  1.6533e-002  1.1266e+001  7.2061e-002  0.0000e+000  0.0000e+000  3.4221e-001  4.5995e-002  9.9423e-001 -1.0727e-001 136774,150348 137063,4553949 136847,4514560
 0.0000e+000 4554032  4.9600e-002  1.1572e+001  7.7060e-002  0.0000e+000  0.0000e+000  3.4956e-001  4.9441e-002  9.9423e-001 -1.0728e-001 136774,150348 4513204,4554072 4554010,4513458
 0.0000e+000 4513480  4.9600e-002  1.1572e+001  7.2059e-002  0.0000e+000  0.0000e+000  3.2690e-001  4.6233e-002 -9.9423e-001  1.0729e-001 150348,136774 4513204,4513520 4513458,4554010
 0.0000e+000 4553909  3.3066e-002  1.1419e+001  7.7060e-002  0.0000e+000  0.0000e+000  3.6022e-001  4.9262e-002  9.9423e-001 -1.0728e-001 136774,150348 4514622,4554151 4554089,4513142
 0.0000e+000 4513164  3.3066e-002  1.1419e+001  7.7059e-002  0.0000e+000  0.0000e+000  3.6022e-001  4.9262e-002 -9.9423e-001  1.0728e-001 150348,136774 4514622,4554072 4513458,4553885
 0.0000e+000 4553806  4.4414e-001  4.2874e+000  7.4632e-002  0.0000e+000  0.0000e+000  7.8731e-001 -5.9919e-002 -1.2667e-001 -9.9195e-001 157638,137170 137402,4553846 4473254,4553784
 0.0000e+000 4474469  4.4419e-001  4.2874e+000  6.9620e-002  0.0000e+000  0.0000e+000  7.3466e-001 -5.5905e-002  1.2667e-001  9.9195e-001 137170,157638 137402,4553119 136506,4474447
 0.0000e+000 4553606  1.4806e-001  4.3252e+000  7.4624e-002  0.0000e+000  0.0000e+000  7.9732e-001 -5.7473e-002  1.2666e-001  9.9195e-001 137170,157638 4473316,4553646 4553057,4474319
 0.0000e+000 4474341  1.4805e-001  4.3252e+000  6.9633e-002  0.0000e+000  0.0000e+000  7.4406e-001 -5.3622e-002 -1.2665e-001 -9.9195e-001 157638,137170 4473316,4474381 136484,4553584
 0.0000e+000 4553478  4.4414e-001  4.1911e+000  8.3536e-002  0.0000e+000  0.0000e+000  7.7592e-001  2.1153e-001  4.6332e-001 -8.8619e-001 137170,160185 4458683,4553518 4553456,4459664
 0.0000e+000 4459686  4.4420e-001  4.1911e+000  7.8527e-002  0.0000e+000  0.0000e+000  7.2720e-001  1.9887e-001 -4.6336e-001  8.8617e-001 160185,137170 4458683,4459726 4459664,4553456
 0.0000e+000 4553350  1.4808e-001  4.0363e+000  8.3529e-002  0.0000e+000  0.0000e+000  7.7395e-001  2.0864e-001 -4.6332e-001  8.8619e-001 160185,137170 137459,4553390 4459536,4553328
 0.0000e+000 4459558  1.4805e-001  4.0363e+000  7.8545e-002  0.0000e+000  0.0000e+000  7.2891e-001  1.9615e-001  4.6328e-001 -8.8621e-001 137170,160185 137459,4552991 4553328,4459536
 0.0000e+000 4553079  2.9613e-001  4.3063e+000  7.4623e-002  0.0000e+000  0.0000e+000  7.9280e-001 -5.8581e-002  1.2667e-001  9.9195e-001 137170,157638 4474509,4553846 4553784,4473254
 0.0000e+000 4473276  2.9609e-001  4.3063e+000  7.4632e-002  0.0000e+000  0.0000e+000  7.9293e-001 -5.8581e-002 -1.2666e-001 -9.9195e-001 157638,137170 4474509,4553646 4474319,4553057
 0.0000e+000 4552951  2.9609e-001  4.1137e+000  8.3540e-002  0.0000e+000  0.0000e+000  7.8007e-001  2.1043e-001  4.6332e-001 -8.8619e-001 137170,160185 4459598,4553390 4552927,4458621
 0.0000e+000 4458643  2.9614e-001  4.1137e+000  8.3529e-002  0.0000e+000  0.0000e+000  7.7999e-001  2.1043e-001 -4.6332e-001  8.8619e-001 160185,137170 4459598,4553518 4458621,4552927
 0.0000e+000 4552720  8.7407e-002  1.5084e+001  5.3761e-002  0.0000e+000  0.0000e+000  4.0387e-001  1.6077e-001 -6.6850e-001  7.4371e-001 166057,137709 138934,4552760 4430693,4552698
 0.0000e+000 4430715  8.7402e-002  1.5084e+001  5.3764e-002  0.0000e+000  0.0000e+000  4.0387e-001  1.6077e-001  6.6850e-001 -7.4371e-001 137709,166057 138934,4430755 4552698,4430693
 0.0000e+000 4552148  1.4429e-001  1.5289e+001  6.4989e-002  0.0000e+000  0.0000e+000  2.8683e-001 -8.8967e-002 -9.7204e-001 -2.3481e-001 159051,137709 138820,4552188 4468949,4552126
 0.0000e+000 4468971  1.4429e-001  1.5289e+001  5.9989e-002  0.0000e+000  0.0000e+000  2.6477e-001 -8.2122e-002  9.7205e-001  2.3479e-001 137709,159051 138820,4551986 4552126,4468949
 0.0000e+000 4552069  8.3245e-002  1.5542e+001  6.4990e-002  0.0000e+000  0.0000e+000  2.8307e-001 -8.9305e-002  9.7204e-001  2.3481e-001 137709,159051 4467683,4552109 4551922,4468821
 0.0000e+000 4468843  8.3244e-002  1.5542e+001  5.9990e-002  0.0000e+000  0.0000e+000  2.6129e-001 -8.2435e-002 -9.7204e-001 -2.3481e-001 159051,137709 4467683,4468883 138718,4552047
 0.0000e+000 4551946  1.1377e-001  1.5415e+001  6.4991e-002  0.0000e+000  0.0000e+000  2.8352e-001 -8.9204e-002  9.7204e-001  2.3481e-001 137709,159051 4469011,4552188 4552126,4467621
 0.0000e+000 4467643  1.1376e-001  1.5415e+001  6.4990e-002  0.0000e+000  0.0000e+000  2.8352e-001 -8.9204e-002 -9.7204e-001 -2.3481e-001 159051,137709 4469011,4552109 4468821,4551922
 0.0000e+000 4551448  8.6435e-002  1.4840e+001  6.0229e-002  0.0000e+000  0.0000e+000  4.1160e-001 -1.7959e-001 -7.4900e-001 -6.6257e-001 166057,138163 138430,4551488 136176,4551426
 0.0000e+000 4430155  8.6437e-002  1.4840e+001  6.0228e-002  0.0000e+000  0.0000e+000  4.1159e-001 -1.7959e-001  7.4901e-001  6.6256e-001 138163,166057 138430,4430195 136198,4430133
 0.0000e+000 4551325  1.1119e-001  1.4578e+001  8.2547e-002  0.0000e+000  0.0000e+000  4.0575e-001  1.6336e-001 -9.3590e-001  3.5228e-001 154090,138163 138544,4551365 4491435,4551301
 0.0000e+000 4491457  1.1119e-001  1.4578e+001  8.2548e-002  0.0000e+000  0.0000e+000  4.0575e-001  1.6336e-001  9.3589e-001 -3.5229e-001 138163,154090 138544,4491497 4551301,4491435
 0.0000e+000 4551222  8.5245e-002  2.4036e+000  4.5767e-002  0.0000e+000  0.0000e+000  4.0961e-001  1.2398e-001 -5.4365e-001  8.3931e-001 146674,138667 140472,4551262 131687,4551200
 0.0000e+000 4529407  8.5220e-002  2.4036e+000  4.5783e-002  0.0000e+000  0.0000e+000  4.0989e-001  1.2398e-001  5.4366e-001 -8.3930e-001 138667,146674 140472,4529447 131665,4529385
 0.0000e+000 4550846  1.1904e-001  2.5865e+000  6.3859e-002  0.0000e+000  0.0000e+000  2.3828e-001 -1.3719e-001  9.2751e-001  3.7380e-001 138667,159505 140358,4550886 140234,4466109
 0.0000e+000 4466131  1.1902e-001  2.5865e+000  6.3883e-002  0.0000e+000  0.0000e+000  2.3434e-001 -1.3719e-001 -9.2754e-001 -3.7371e-001 159505,138667 140358,4466171 140256,4550822
 0.0000e+000 4550599  3.5799e-001  1.2491e+001  5.5551e-002  0.0000e+000  0.0000e+000  5.0694e-001  1.3701e-001  4.6309e-001 -8.8631e-001 139057,159845 4461952,4550639 4550577,4463850
 0.0000e+000 4463872  3.5800e-001  1.2491e+001  5.0550e-002  0.0000e+000  0.0000e+000  4.6133e-001  1.2468e-001 -4.6309e-001  8.8631e-001 159845,139057 4461952,4463912 4463850,4550577
