time cIndex x y length flowRate aperture nForce sForce xNormCosine yNormCosine blocks domains corners
f i f f f f f f f f f l l l
 1.0000e-001 113066  1.4883e+000  7.2310e+000  3.0150e-001  0.0000e+000  0.0000e+000 -1.3676e+000  0.0000e+000  9.4145e-001  3.3715e-001 22970,27564 24005,113106 113040,109844
 1.0000e-001 109866  1.4881e+000  7.2315e+000  3.0144e-001  0.0000e+000  0.0000e+000 -1.3914e+000  0.0000e+000 -9.4145e-001 -3.3716e-001 27564,22970 24005,109906 109844,113040
 1.0000e-001 111973  9.8001e-001  8.4543e+000  3.3860e-001  0.0000e+000  0.0000e+000 -2.3553e+000  0.0000e+000 -7.2589e-001 -6.8781e-001 25712,24142 24352,112013 110895,111947
 1.0000e-001 110917  9.8020e-001  8.4541e+000  3.3861e-001  0.0000e+000  0.0000e+000 -2.2811e+000  0.0000e+000  7.2594e-001  6.8775e-001 24142,25712 24352,110957 111947,110895
 1.0000e-001 111000  1.6638e+000  8.5230e+000  2.6439e-001  0.0000e+000  0.0000e+000 -1.0770e+000 -0.0000e+000 -9.7098e-001  2.3915e-001 30260,25712 26093,111040 25741,110978
 1.0000e-001 107655  1.6638e+000  8.5229e+000  2.6440e-001  0.0000e+000  0.0000e+000 -1.0307e+000 -0.0000e+000  9.7100e-001 -2.3907e-001 25712,30260 26093,107695 25763,107633
 1.0000e-001 109467  1.8665e+000  3.4166e-001  2.4841e-001  0.0000e+000  0.0000e+000 -1.4185e+000 -0.0000e+000 -4.0491e-001  9.1436e-001 31026,28018 28796,109507 24554,109443
 1.0000e-001 107004  1.8664e+000  3.4163e-001  2.4839e-001  0.0000e+000  0.0000e+000 -1.4039e+000 -0.0000e+000  4.0499e-001 -9.1432e-001 28018,31026 28796,107044 24532,106982
 1.0000e-001 109040  1.6998e+000  5.3418e+000  2.6322e-001  0.0000e+000  0.0000e+000 -1.8147e+000 -0.0000e+000 -3.3190e-001 -9.4331e-001 29480,28472 29286,109080 108356,109016
 1.0000e-001 108378  1.6998e+000  5.3417e+000  2.6321e-001  0.0000e+000  0.0000e+000 -1.7962e+000 -0.0000e+000  3.3201e-001  9.4328e-001 28472,29480 29286,108418 109016,108356
 1.0000e-001 108711  2.3705e+000  1.5957e+000  2.9847e-001  0.0000e+000  0.0000e+000 -8.5030e-001  0.0000e+000 -8.5041e-001  5.2612e-001 36127,29076 30137,108751 28898,108687
 1.0000e-001 103388  2.3705e+000  1.5956e+000  2.9847e-001  0.0000e+000  0.0000e+000 -8.2763e-001  0.0000e+000  8.5046e-001 -5.2604e-001 29076,36127 30137,103428 28876,103366
 1.0000e-001 105112  3.4380e+000  6.9844e+000  2.8344e-001  0.0000e+000  0.0000e+000 -1.7195e+000 -0.0000e+000 -6.0753e-001  7.9430e-001 40274,34696 36054,105152 33702,105086
 1.0000e-001 100473  3.4378e+000  6.9843e+000  2.8341e-001  0.0000e+000  0.0000e+000 -1.7577e+000 -0.0000e+000  6.0748e-001 -7.9434e-001 34696,40274 36054,100513 33680,100451
 1.0000e-001 103471  3.1127e+000  1.0517e+000  2.9599e-001  0.0000e+000  0.0000e+000 -9.6181e-001 -0.0000e+000 -7.6683e-001  6.4186e-001 41232,36127 36986,103511 32511,103449
 1.0000e-001 99245  3.1127e+000  1.0516e+000  2.9600e-001  0.0000e+000  0.0000e+000 -9.4008e-001 -0.0000e+000  7.6687e-001 -6.4181e-001 36127,41232 36986,99285 32489,99223
 1.0000e-001 102612  3.7212e+000  2.4068e+000  3.8380e-001  0.0000e+000  0.0000e+000 -1.0486e+000 -0.0000e+000 -8.8261e-001  4.7011e-001 40728,37592 38299,102652 37088,102586
 1.0000e-001 99895  3.7212e+000  2.4067e+000  3.8379e-001  0.0000e+000  0.0000e+000 -1.0662e+000 -0.0000e+000  8.8259e-001 -4.7015e-001 37592,40728 38299,99935 37066,99873
 1.0000e-001 101116  4.3646e+000  3.5456e+000  2.4784e-001  0.0000e+000  0.0000e+000 -7.2273e-001  0.0000e+000 -9.1025e-001  4.1405e-001 44716,39820 40201,101156 39849,101092
 1.0000e-001 95578  4.3646e+000  3.5455e+000  2.4783e-001  0.0000e+000  0.0000e+000 -7.4358e-001  0.0000e+000  9.1020e-001 -4.1417e-001 39820,44716 40201,95618 39871,95556
